record_id,crop,symptom,diagnosis,image_paths
D00001,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_69458.jpg"
D00002,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_69480.jpg"
D00003,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_69604.jpg"
D00004,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_69777.jpg"
D00005,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_69959.jpg"
D00006,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_70311.jpg"
D00007,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_70617.jpg"
D00008,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_70678.jpg"
D00009,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_70898.jpg"
D00010,Apple,"dark brown to black or brown ,irregular,of varying sizes,yellow halo",Alternaria Blotch,"images\Apple,Alternaria Blotch\plant_71943.jpg"
D00011,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_74790.jpg"
D00012,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_74819.jpg"
D00013,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_74833.jpg"
D00014,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_74897.jpg"
D00015,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_74898.jpg"
D00016,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_74903.jpg"
D00017,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_75097.jpg"
D00018,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_75144.jpg"
D00019,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_75178.jpg"
D00020,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Apple,Black Rot\plant_75283.jpg"
D00021,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_75447.jpg"
D00022,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_75499.jpg"
D00023,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_75606.jpg"
D00024,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_75619.jpg"
D00025,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_75730.jpg"
D00026,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_75766.jpg"
D00027,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_75983.jpg"
D00028,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_76027.jpg"
D00029,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_76078.jpg"
