record_id,crop,symptom,diagnosis,image_paths,confirmed_by
D00001,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (1).JPG",PlantVillage
D00002,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (2).JPG",PlantVillage
D00003,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (3).JPG",PlantVillage
D00004,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (4).JPG",PlantVillage
D00005,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (5).JPG",PlantVillage
D00006,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (6).JPG",PlantVillage
D00007,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (7).JPG",PlantVillage
D00008,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (8).JPG",PlantVillage
D00009,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (9).JPG",PlantVillage
D00010,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (10).JPG",PlantVillage
D00011,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (11).JPG",PlantVillage
D00012,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (12).JPG",PlantVillage
D00013,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (13).JPG",PlantVillage
D00014,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (14).JPG",PlantVillage
D00015,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (15).JPG",PlantVillage
D00016,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (16).JPG",PlantVillage
D00017,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (17).JPG",PlantVillage
D00018,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (18).JPG",PlantVillage
D00019,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (19).JPG",PlantVillage
D00020,Apple,"dark brown to black spots,mostly circular in shape,varying in size",Black rot,"images\Apple,Black rot\image (20).JPG",PlantVillage
D00021,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (1).JPG",PlantVillage
D00022,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (2).JPG",PlantVillage
D00023,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (3).JPG",PlantVillage
D00024,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (4).JPG",PlantVillage
D00025,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (5).JPG",PlantVillage
D00026,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (6).JPG",PlantVillage
D00027,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (7).JPG",PlantVillage
D00028,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (8).JPG",PlantVillage
D00029,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (9).JPG",PlantVillage
D00030,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (10).JPG",PlantVillage
D00031,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (11).JPG",PlantVillage
D00032,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (12).JPG",PlantVillage
D00033,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (13).JPG",PlantVillage
D00034,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (14).JPG",PlantVillage
D00035,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (15).JPG",PlantVillage
D00036,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (16).JPG",PlantVillage
D00037,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (17).JPG",PlantVillage
D00038,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (18).JPG",PlantVillage
D00039,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (19).JPG",PlantVillage
D00040,Apple,"yellow orange spots, circular in shape, varying in size",Cedar apple rust,"images\Apple,Cedar apple rust\image (20).JPG",PlantVillage
D00041,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (1).JPG",PlantVillage
D00042,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (2).JPG",PlantVillage
D00043,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (3).JPG",PlantVillage
D00044,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (4).JPG",PlantVillage
D00045,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (5).JPG",PlantVillage
D00046,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (6).JPG",PlantVillage
D00047,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (7).JPG",PlantVillage
D00048,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (8).JPG",PlantVillage
D00049,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (9).JPG",PlantVillage
D00050,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (10).JPG",PlantVillage
D00051,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (11).JPG",PlantVillage
D00052,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (12).JPG",PlantVillage
D00053,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (13).JPG",PlantVillage
D00054,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (14).JPG",PlantVillage
D00055,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (15).JPG",PlantVillage
D00056,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (16).JPG",PlantVillage
D00057,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (17).JPG",PlantVillage
D00058,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (18).JPG",PlantVillage
D00059,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (19).JPG",PlantVillage
D00060,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (20).JPG",PlantVillage
D00061,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (21).JPG",PlantVillage
D00062,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (22).JPG",PlantVillage
D00063,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (23).JPG",PlantVillage
D00064,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (24).JPG",PlantVillage
D00065,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (25).JPG",PlantVillage
D00066,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (26).JPG",PlantVillage
D00067,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (27).JPG",PlantVillage
D00068,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (28).JPG",PlantVillage
D00069,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (29).JPG",PlantVillage
